N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.01428016,1.107509,-0.1453618,0.3841941,-0.4890182,-0.6333575,0.4605587
-0.01397222,1.107884,-0.1427357,0.39415,-0.5024865,-0.6152388,0.4622059
-0.01372664,1.108021,-0.1416568,0.3994829,-0.5081843,-0.6064587,0.463001
-0.0131581,1.108255,-0.1399191,0.410982,-0.5180843,-0.5894229,0.4639645
-0.0131581,1.108255,-0.1399191,0.410982,-0.5180843,-0.5894229,0.4639645
-0.01331961,1.108494,-0.1388876,0.4223333,-0.526026,-0.5749739,0.4629646
-0.01276571,1.108529,-0.138796,0.4354912,-0.5308353,-0.561591,0.4617108
-0.01308157,1.108674,-0.1391219,0.4481352,-0.5349904,-0.5503957,0.4582846
-0.01308157,1.108674,-0.1391219,0.4481352,-0.5349904,-0.5503957,0.4582846
-0.01375676,1.108651,-0.1400007,0.460066,-0.5376174,-0.5418068,0.4535993
-0.01388168,1.108623,-0.1406888,0.4662129,-0.5379171,-0.5382368,0.4512115
-0.01405688,1.108372,-0.1427154,0.4787986,-0.5368202,-0.5326966,0.4458815
-0.01467498,1.107984,-0.1455831,0.4911211,-0.5342063,-0.5298458,0.4389614
-0.01467498,1.107984,-0.1455831,0.4911211,-0.5342063,-0.5298458,0.4389614
-0.01477408,1.107653,-0.1494222,0.5046622,-0.5294046,-0.5283399,0.4311659
-0.01443031,1.107212,-0.1542193,0.5191012,-0.5224208,-0.5283315,0.4224645
-0.01386645,1.109275,-0.1606593,0.534651,-0.5125604,-0.5308791,0.4118221
-0.01386645,1.109275,-0.1606593,0.534651,-0.5125604,-0.5308791,0.4118221
-0.01335965,1.10906,-0.1635343,0.5422698,-0.5077183,-0.5311949,0.4074281
-0.01153418,1.10886,-0.1687756,0.5578325,-0.4983995,-0.5304536,0.398798
-0.0109668,1.108382,-0.1728948,0.569829,-0.4908938,-0.5308074,0.3905915
-0.0100322,1.108342,-0.1755021,0.580235,-0.4844816,-0.5294497,0.3850818
-0.0100322,1.108342,-0.1755021,0.580235,-0.4844816,-0.5294497,0.3850818
-0.009518668,1.108464,-0.1762525,0.5881563,-0.4813952,-0.5264272,0.3810581
-0.009641513,1.108516,-0.1761048,0.5906672,-0.4811022,-0.5249899,0.3795243
-0.01011283,1.108601,-0.1753551,0.5940268,-0.4812234,-0.522456,0.3776188
-0.01016167,1.108765,-0.174413,0.596705,-0.4809839,-0.5197035,0.3774996
